id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1003194,1,2016-05-17 05:41:09,2016-05-17 05:54:00,1,-73.9902801514,40.7559738159,-73.9558258057,40.779586792,N,771
id2674317,2,2016-05-27 18:25:00,2016-05-27 18:35:33,1,-73.9868011475,40.7519264221,-73.9948196411,40.7606201172,N,633
id1300628,1,2016-04-22 22:03:35,2016-04-22 22:18:25,1,-73.9805374146,40.7542304993,-73.9795532227,40.7273521423,N,890
id3544509,2,2016-03-20 18:22:42,2016-03-20 18:31:27,1,-73.9816665649,40.7680664062,-73.9745101929,40.7900886536,N,525
id3029441,2,2016-02-09 14:29:56,2016-02-09 14:57:36,1,-73.9751281738,40.758972168,-73.9449234009,40.8026123047,N,1660
id3533091,1,2016-06-12 02:24:51,2016-06-12 02:37:51,1,-74.0052566528,40.7403297424,-73.977722168,40.7666816711,N,780
id2011153,1,2016-06-03 10:32:51,2016-06-03 10:51:20,1,-73.9752883911,40.7896575928,-73.9546279907,40.7894058228,N,1109
id3408075,2,2016-03-10 20:07:10,2016-03-10 20:12:19,3,-73.9565200806,40.7714500427,-73.9463882446,40.7770385742,N,309
id0975634,1,2016-02-13 16:43:38,2016-02-13 16:47:04,1,-73.9579925537,40.7764015198,-73.9544143677,40.7838096619,N,206
id0505276,2,2016-01-29 18:05:05,2016-01-29 18:15:42,1,-73.9817276001,40.7786102295,-73.9558334351,40.7779426575,N,637
id3732066,2,2016-03-26 17:50:15,2016-03-26 18:08:48,1,-74.0029296875,40.7399253845,-73.9589920044,40.7609672546,N,1113
id3457806,2,2016-04-14 07:33:00,2016-04-14 07:48:42,1,-73.9746627808,40.7905387878,-73.9644775391,40.7648887634,N,942
id2201684,1,2016-06-10 08:43:27,2016-06-10 09:21:50,1,-73.8632354736,40.768901825,-73.9584732056,40.7131156921,N,2303
id1017123,2,2016-03-07 06:28:49,2016-03-07 07:11:02,1,-73.7900238037,40.6471328735,-73.9964141846,40.7330284119,N,2533
id2580523,2,2016-04-01 23:16:11,2016-04-01 23:28:14,1,-73.991859436,40.7259216309,-74.0025100708,40.7337303162,N,723
id1095127,1,2016-02-27 01:20:05,2016-02-27 01:30:22,1,-73.9586257935,40.7212562561,-73.9518051147,40.7075920105,N,617
id2517867,2,2016-05-09 20:01:19,2016-05-09 20:15:24,2,-73.9730300903,40.7612876892,-73.9596557617,40.7984809875,N,845
id1456813,1,2016-02-12 22:39:08,2016-02-12 22:53:51,1,-74.0022277832,40.7282562256,-73.9782943726,40.7525520325,N,883
id1533266,1,2016-05-06 09:16:54,2016-05-06 09:26:02,1,-73.966003418,40.7622871399,-73.9544067383,40.766910553,N,548
id1450628,2,2016-01-06 17:34:31,2016-01-06 17:50:41,5,-73.9887313843,40.757144928,-73.9610519409,40.7604904175,N,970
id1942256,1,2016-06-15 22:25:37,2016-06-15 22:28:51,3,-73.9602050781,40.7816047668,-73.9694747925,40.7852287292,N,194
id1370449,2,2016-04-11 03:45:31,2016-04-11 03:50:28,2,-73.9789123535,40.7527008057,-73.9979553223,40.7608032227,N,297
id2374888,1,2016-06-11 12:02:34,2016-06-11 12:20:08,3,-73.9945983887,40.7450904846,-74.0166244507,40.7047424316,N,1054
id0351390,1,2016-01-31 11:17:38,2016-01-31 11:27:15,1,-73.9836349487,40.738319397,-73.966796875,40.754989624,Y,577
id1692579,2,2016-01-15 18:08:27,2016-01-15 18:16:50,5,-73.9868164062,40.7428703308,-73.9886322021,40.7506103516,N,503
